sto,ocp
3.0630000e-03,9.0967012e-01
6.1260000e-03,7.8274557e-01
9.1890000e-03,7.0498326e-01
1.2252000e-02,6.5187622e-01
1.5315000e-02,6.0888124e-01
1.8378000e-02,5.7261633e-01
2.1441000e-02,5.4112891e-01
2.4504000e-02,5.1337721e-01
2.7567000e-02,4.8862814e-01
3.0630000e-02,4.6619266e-01
3.3693000e-02,4.4546670e-01
3.6756000e-02,4.2672564e-01
3.9819000e-02,4.0925886e-01
4.2882000e-02,3.9345689e-01
4.5945000e-02,3.7905400e-01
4.9008000e-02,3.6594033e-01
5.2071000e-02,3.5389708e-01
5.5134000e-02,3.4319016e-01
5.8197000e-02,3.3340633e-01
6.1260000e-02,3.2467748e-01
6.4323000e-02,3.1709423e-01
6.7386000e-02,3.1046558e-01
7.0449000e-02,3.0446209e-01
7.3512000e-02,2.9930860e-01
7.6575000e-02,2.9516081e-01
7.9638000e-02,2.9127392e-01
8.2701000e-02,2.8790450e-01
8.5764000e-02,2.8483634e-01
8.8827000e-02,2.8179512e-01
9.1890000e-02,2.7897152e-01
9.4953000e-02,2.7603899e-01
9.8016000e-02,2.7310652e-01
1.0107900e-01,2.7017405e-01
1.0414200e-01,2.6724150e-01
1.0720500e-01,2.6430897e-01
1.1026800e-01,2.6137646e-01
1.1333100e-01,2.5863478e-01
1.1639400e-01,2.5570226e-01
1.1945700e-01,2.5277557e-01
1.2252000e-01,2.5010272e-01
1.2558300e-01,2.4728645e-01
1.2864600e-01,2.4454484e-01
1.3170900e-01,2.4180317e-01
1.3477200e-01,2.3906156e-01
1.3783500e-01,2.3651078e-01
1.4089800e-01,2.3368376e-01
1.4396100e-01,2.3083677e-01
1.4702400e-01,2.2809527e-01
1.5008700e-01,2.2528336e-01
1.5315000e-01,2.2242122e-01
1.5621300e-01,2.1955582e-01
1.5927600e-01,2.1674708e-01
1.6233900e-01,2.1400545e-01
1.6540200e-01,2.1164582e-01
1.6846500e-01,2.0985902e-01
1.7152800e-01,2.0845404e-01
1.7459100e-01,2.0752798e-01
1.7765400e-01,2.0695523e-01
1.8071700e-01,2.0638247e-01
1.8378000e-01,2.0600063e-01
1.8684300e-01,2.0542788e-01
1.8990600e-01,2.0498860e-01
1.9296900e-01,2.0447329e-01
1.9603200e-01,2.0390054e-01
1.9909500e-01,2.0351870e-01
2.0215800e-01,2.0280484e-01
2.0522100e-01,2.0216332e-01
2.0828400e-01,2.0133109e-01
2.1134700e-01,2.0068963e-01
2.1441000e-01,1.9970034e-01
2.1747300e-01,1.9864302e-01
2.2053600e-01,1.9760024e-01
2.2359900e-01,1.9621468e-01
2.2666200e-01,1.9473647e-01
2.2972500e-01,1.9283180e-01
2.3278800e-01,1.9091810e-01
2.3585100e-01,1.8887621e-01
2.3891400e-01,1.8651647e-01
2.4197700e-01,1.8404505e-01
2.4504000e-01,1.8179701e-01
2.4810300e-01,1.7962824e-01
2.5116600e-01,1.7726849e-01
2.5422900e-01,1.7529064e-01
2.5729200e-01,1.7331289e-01
2.6035500e-01,1.7133503e-01
2.6341800e-01,1.6973902e-01
2.6648100e-01,1.6800793e-01
2.6954400e-01,1.6635634e-01
2.7260700e-01,1.6457141e-01
2.7567000e-01,1.6297335e-01
2.7873300e-01,1.6118643e-01
2.8179600e-01,1.5941662e-01
2.8485900e-01,1.5780354e-01
2.8792200e-01,1.5601681e-01
2.9098500e-01,1.5442097e-01
2.9404800e-01,1.5273448e-01
2.9711100e-01,1.5120714e-01
3.0017400e-01,1.4967979e-01
3.0323700e-01,1.4853429e-01
3.0630000e-01,1.4738878e-01
3.0936300e-01,1.4624327e-01
3.1242600e-01,1.4509776e-01
3.1548900e-01,1.4357041e-01
3.1855200e-01,1.4235074e-01
3.2161500e-01,1.4070664e-01
3.2467800e-01,1.3917930e-01
3.2774100e-01,1.3746104e-01
3.3080400e-01,1.3593369e-01
3.3386700e-01,1.3418122e-01
3.3693000e-01,1.3258527e-01
3.3999300e-01,1.3098936e-01
3.4305600e-01,1.2977520e-01
3.4611900e-01,1.2848788e-01
3.4918200e-01,1.2772421e-01
3.5224500e-01,1.2715146e-01
3.5530800e-01,1.2663719e-01
3.5837100e-01,1.2618697e-01
3.6143400e-01,1.2562411e-01
3.6449700e-01,1.2505136e-01
3.6756000e-01,1.2447860e-01
3.7062300e-01,1.2390585e-01
3.7368600e-01,1.2314218e-01
3.7674900e-01,1.2237851e-01
3.7981200e-01,1.2180575e-01
3.8287500e-01,1.2124715e-01
3.8593800e-01,1.2066024e-01
3.8900100e-01,1.2027841e-01
3.9206400e-01,1.1989657e-01
3.9512700e-01,1.1951473e-01
3.9819000e-01,1.1913290e-01
4.0125300e-01,1.1894198e-01
4.0431600e-01,1.1875106e-01
4.0737900e-01,1.1859799e-01
4.1044200e-01,1.1856014e-01
4.1350500e-01,1.1836922e-01
